symbol,entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl_abs,r_multiple,model,entry_reasons,exit_reason,entry_hour
QQQ,2026-02-03 10:03:00-05:00,2026-02-03 10:15:00-05:00,short,620.7999877929688,618.7882815769742,621.6046702793666,618.7882815769742,2.0117062159945363,2.4999999999999294,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-03 10:15:00-05:00,2026-02-03 10:51:00-05:00,short,619.1500244140625,620.5419882638114,620.5419882638114,615.6701147896903,-1.3919638497488904,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-03 10:51:00-05:00,2026-02-03 10:57:00-05:00,short,620.239990234375,620.7563040597098,620.7563040597098,618.949205671038,-0.5163138253348052,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-03 10:57:00-05:00,2026-02-03 11:03:00-05:00,short,620.6199951171875,619.7292960030693,620.9762747628348,619.7292960030693,0.8906991141182061,2.4999999999998406,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-04 10:03:00-05:00,2026-02-04 10:09:00-05:00,short,609.530029296875,611.4326307024274,611.4326307024274,604.7735257829938,-1.9026014055524456,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:09:00-05:00,2026-02-04 10:12:00-05:00,short,611.510009765625,611.8826429094587,611.8826429094587,610.5784269060407,-0.3726331438336956,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:12:00-05:00,2026-02-04 10:24:00-05:00,short,610.760009765625,612.1126233782087,612.1126233782087,607.3784757341657,-1.3526136125836956,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:24:00-05:00,2026-02-04 10:27:00-05:00,short,612.0499877929688,612.6104707990374,612.6104707990374,610.648780277797,-0.5604830060686936,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-04 10:27:00-05:00,2026-02-04 11:09:00-05:00,short,611.4849853515625,607.0712351117813,613.250485447475,607.0712351117813,4.413750239781166,2.5000000000000324,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-05 10:09:00-05:00,2026-02-05 11:15:00-05:00,short,597.9000244140625,594.8335516793387,599.126613507952,594.8335516793387,3.0664727347237886,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-06 10:09:00-05:00,2026-02-06 10:18:00-05:00,long,600.8599853515625,600.014313180106,600.014313180106,602.9741657802037,-0.8456721714564992,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-06 10:18:00-05:00,2026-02-06 13:06:00-05:00,long,602.2899780273438,608.9118063790457,599.641246686663,608.9118063790457,6.621828351701993,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-09 10:00:00-05:00,2026-02-09 10:06:00-05:00,short,608.8250122070312,609.7917916434152,609.7917916434152,606.4080636160713,-0.9667794363839448,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:06:00-05:00,2026-02-09 10:09:00-05:00,short,610.9102172851562,610.9919869559152,610.9919869559152,610.7057931082588,-0.08176967075894481,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:09:00-05:00,2026-02-09 10:15:00-05:00,short,610.8906860351562,611.351789202009,611.351789202009,609.7379281180245,-0.4611031668526948,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:15:00-05:00,2026-02-09 10:21:00-05:00,short,611.635009765625,611.8843061174665,611.8843061174665,611.0117688860212,-0.2492963518415081,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:21:00-05:00,2026-02-09 10:27:00-05:00,short,611.9000244140625,610.8268018450055,612.3293134416853,610.8268018450055,1.0732225690569521,2.5000000000001323,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-09 10:30:00-05:00,2026-02-09 10:33:00-05:00,short,611.594970703125,611.7195552280971,611.7195552280971,611.2835093906948,-0.12458452497207873,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:33:00-05:00,2026-02-09 10:36:00-05:00,short,611.6699829101562,611.9645503452846,611.9645503452846,610.9335643223354,-0.2945674351283287,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:36:00-05:00,2026-02-09 10:39:00-05:00,short,612.3900146484375,612.7445796421596,612.7445796421596,611.5036021641323,-0.3545649937220787,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:39:00-05:00,2026-02-09 10:51:00-05:00,short,612.0900268554688,612.8445552280971,612.8445552280971,610.2037059238979,-0.7545283726283287,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:51:00-05:00,2026-02-09 10:57:00-05:00,short,612.97998046875,613.4668003627232,613.4668003627232,611.7629307338169,-0.4868198939732338,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:57:00-05:00,2026-02-09 11:00:00-05:00,short,614.02001953125,613.7030857631138,614.1467930385045,613.7030857631138,0.31693376813620944,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
