symbol,entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl_abs,r_multiple,model,entry_reasons,exit_reason,entry_hour
QQQ,2026-02-06 10:09:00-05:00,2026-02-06 10:18:00-05:00,long,600.8599853515625,600.014313180106,600.014313180106,602.9741657802037,-0.8456721714564992,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-06 10:18:00-05:00,2026-02-06 13:06:00-05:00,long,602.2899780273438,608.9118063790457,599.641246686663,608.9118063790457,6.621828351701993,2.5,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-09 10:00:00-05:00,2026-02-09 10:06:00-05:00,short,608.8250122070312,609.7917916434152,609.7917916434152,606.4080636160713,-0.9667794363839448,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:06:00-05:00,2026-02-09 10:09:00-05:00,short,610.9102172851562,610.9919869559152,610.9919869559152,610.7057931082588,-0.08176967075894481,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:09:00-05:00,2026-02-09 10:15:00-05:00,short,610.8906860351562,611.351789202009,611.351789202009,609.7379281180245,-0.4611031668526948,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:15:00-05:00,2026-02-09 10:21:00-05:00,short,611.635009765625,611.8843061174665,611.8843061174665,611.0117688860212,-0.2492963518415081,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:21:00-05:00,2026-02-09 10:27:00-05:00,short,611.9000244140625,610.8268018450055,612.3293134416853,610.8268018450055,1.0732225690569521,2.5000000000001323,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-09 10:30:00-05:00,2026-02-09 10:33:00-05:00,short,611.594970703125,611.7195552280971,611.7195552280971,611.2835093906948,-0.12458452497207873,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:33:00-05:00,2026-02-09 10:36:00-05:00,short,611.6699829101562,611.9645503452846,611.9645503452846,610.9335643223354,-0.2945674351283287,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-09 10:36:00-05:00,2026-02-09 10:39:00-05:00,short,612.3900146484375,612.7445796421596,612.7445796421596,611.5036021641323,-0.3545649937220787,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
